month_date,market,mining,lifestyle,lifestyle_melb_nsw
2004-12-01,-0.14828543836808106,-0.07669459023551108,0.20268605669745277,0.18485352977392713
2005-01-01,-0.14169814768485411,-0.056954936240329226,0.20389589778858053,0.18557339583815938
2005-02-01,-0.13485323588265075,-0.03905087678385978,0.19929944792905108,0.1793467164616224
2005-03-01,-0.13132573071078413,-0.02374103315537214,0.1957072885540717,0.18059295448665538
2005-04-01,-0.12731920171087907,-0.006023817636486531,0.18197488043842258,0.17461134590773145
2005-05-01,-0.12564068611960288,0.0016070368276380614,0.17556454181052505,0.16857937402773662
2005-06-01,-0.12387896732242576,0.015648392428978294,0.16581492295438727,0.16297648175292914
2005-07-01,-0.11839955681869097,0.042762910482593605,0.15838252727733704,0.15506211539968676
2005-08-01,-0.11184893898237291,0.06808014816773132,0.1522997818060503,0.14856403719719605
2005-09-01,-0.102709981788208,0.09316769579594784,0.14861972487236297,0.14640879218618844
2005-10-01,-0.09582145364082129,0.12057414255638564,0.14755029172816903,0.15039969261474764
2005-11-01,-0.08931557982896066,0.15205885805155606,0.13869047350893227,0.14900855095897983
2005-12-01,-0.08476815728340614,0.18017920277650534,0.13345196931679104,0.1551376015417171
2006-01-01,-0.07541748787128055,0.2188616592429804,0.12774505034679018,0.15480697904883925
2006-02-01,-0.06551759432794779,0.25556930198142347,0.12016758190526389,0.1586988411937971
2006-03-01,-0.05667630544242219,0.29847575449166974,0.10879691496718669,0.15534717462259087
2006-04-01,-0.047704874030369604,0.3273957875439528,0.1024568498337608,0.15225272035736995
2006-05-01,-0.03954313023680256,0.35876030866945985,0.09003953604685833,0.14549314023717866
2006-06-01,-0.033265084202363626,0.3935760660585075,0.08262168710827367,0.14669645127118094
2006-07-01,-0.026649461829320487,0.4287764604247891,0.06885228774017604,0.14115874234867434
2006-08-01,-0.02045487221567943,0.43786138976777733,0.0657992310102935,0.1383113125850717
2006-09-01,-0.013590410819541932,0.45284752606955236,0.0627872158172409,0.135561378819984
2006-10-01,-0.00777693159542614,0.46003937514769566,0.06356605529076986,0.1398871981275052
2006-11-01,-0.0020212964963866042,0.458792698917312,0.0651231954832111,0.13475752779906117
2006-12-01,0.003799927006243209,0.4594173352904739,0.07118844232554167,0.1330036988002811
2007-01-01,0.011609280482378637,0.4570425112255472,0.07060870786133744,0.12907604861782987
2007-02-01,0.019948530776010776,0.4518786713762746,0.06543666275014404,0.12351122490521707
2007-03-01,0.03129619259809857,0.44850894047874257,0.06300757869948714,0.11432194610438198
2007-04-01,0.041953446014542095,0.44959884070742073,0.062049438046052896,0.10688922253014391
2007-05-01,0.05356678086655231,0.45188788505563926,0.05349422724531594,0.09126719183774637
2007-06-01,0.06150915570120308,0.4474944223809916,0.048712341545836035,0.08212673999929657
2007-07-01,0.07442494121101917,0.44845182411888995,0.046393469806845666,0.07543226674184048
2007-08-01,0.08431926916180155,0.4430045181013814,0.045814841046304955,0.06643030596750368
2007-09-01,0.09438326357255633,0.44440894733294023,0.04759005668608085,0.060171488162649084
