month_date,mean_mkt,lo80_mkt,hi80_mkt,lo95_mkt,hi95_mkt,mean_mining,lo80_mining,hi80_mining,lo95_mining,hi95_mining
2026 Nov,1.0145235593526722,0.7719634187644044,1.25708369994094,0.6435598366124562,1.3854872820928883,-0.07309016777047642,-0.34330236142614035,0.19712202588518749,-0.48634405625026245,0.34016372070930956
2026 Dec,1.0187482006897577,0.771878544973057,1.2656178564064584,0.6411936433162355,1.3963027580632796,-0.07064330829729581,-0.34294319456763794,0.2016565779730463,-0.48709004710442766,0.345803430509836
2027 Jan,1.0240252978178104,0.7729030407088554,1.2751475549267655,0.6399669478591797,1.408083647776441,-0.06825690586608849,-0.34253672862978557,0.20602291689760857,-0.48773169623430057,0.35121788450212355
2027 Feb,1.030126160460372,0.7748069071188,1.285445413801944,0.6396490586697119,1.420603262251032,-0.0659305340474004,-0.34208697247127773,0.21022590437647692,-0.4882753603982958,0.356414292303495
2027 Mar,1.0357683506879773,0.776306382743769,1.2952303186321856,0.638955513654432,1.4325811877215227,-0.06366369748307375,-0.3415977643188368,0.21427036935268928,-0.4887271718843975,0.3613997769182499
2027 Apr,1.0399526567859652,0.7764009274149155,1.3035043861570148,0.6368850694033275,1.4430202441686029,-0.06145583772818093,-0.3410727732332648,0.21816109777690296,-0.4890930376597591,0.3661813622033972
2027 May,1.043067504481666,0.7754776417133997,1.3106573672499322,0.6338241250075495,1.4523108839557823,-0.05930633877280462,-0.340515501057082,0.22190282351147278,-0.48937863942630594,0.3707659618806967
2027 Jun,1.0466278650749248,0.7750501818195066,1.318205548330343,0.6312856404651406,1.461970089684709,-0.05721453225777135,-0.339929284784934,0.22550022026939132,-0.48958943448491765,0.3751603699693749
2027 Jul,1.0518753240845888,0.7763588336016845,1.3273918145674932,0.6305092136511872,1.4732414345179905,-0.055179702397928826,-0.3393172993034891,0.2289578945076314,-0.48973065731951304,0.37937125252365533
2027 Aug,1.0586081365289453,0.7792005722643858,1.3380157007935047,0.6312911422776215,1.485925130780269,-0.0532010906260551,-0.3386825604525169,0.23228037920040667,-0.4898073218202303,0.38340514056812003
2027 Sep,1.065391763271641,0.7821396021560728,1.348643924387209,0.6321949655339464,1.4985885610093355,-0.05127789997000042,-0.338027928363313,0.23547212842331217,-0.4898242240719868,0.3872684241319859
2027 Oct,1.070936765990844,0.7838852544388741,1.3579882775428138,0.6319293631864471,1.5099441687952408,-0.0494092991751894,-0.3373561110346627,0.2385375126842839,-0.4897859456411231,0.3909673472907443
2027 Nov,1.0752811346238098,0.7844743165937926,1.366087952653827,0.6305304861742368,1.5200317830733827,-0.04759442658415276,-0.3366696681101767,0.24148081494187118,-0.48969685729863976,0.3945080041303342
2027 Dec,1.07962323068819,0.7851039772659913,1.3741424841103889,0.6291949022612876,1.5300515591150925,-0.04583239378431292,-0.33597101482412434,0.2443062272554985,-0.48956112312380734,0.39789633555518145
2028 Jan,1.0850068147492435,0.786816854806841,1.383196774691646,0.6289646251474624,1.5410490043510245,-0.04412228903481675,-0.33526242608587464,0.24701784801624116,-0.4893827049367236,0.40113812686709005
2028 Feb,1.0912042206911772,0.7893841722452233,1.393024269137131,0.629610289810355,1.5527981515719993,-0.04246318048279122,-0.33454604067576527,0.2496196797101828,-0.4891653670127593,0.4042390060471768
2028 Mar,1.0969339391101856,0.7915233410686904,1.4023445371516807,0.6298487364919088,1.5640191417284623,-0.04085411917899295,-0.3338238655276879,0.252115627169702,-0.4889126810358184,0.40720444267783246
2028 Apr,1.1011976001125547,0.7922349441513581,1.4101602560737514,0.6286799936950155,1.573715206530094,-0.03929414190243121,-0.33309778007592816,0.2545094962710658,-0.48862803125099113,0.4100397474461287
2028 May,1.1043843926382397,0.7919071549943546,1.4168616302821249,0.626491697379959,1.5822770878965202,-0.03778227380316461,-0.3323695406458502,0.256804993039521,-0.48831461978051427,0.41275007217418497
2028 Jun,1.108009979931749,0.7920546529391976,1.4239653069243006,0.6247980060414757,1.5912219538220225,-0.03631753087210483,-0.33164078486989973,0.2590057231256901,-0.4879754720700301,0.4153404103258204
2028 Jul,1.113316574843555,0.7939186980699987,1.432714451617111,0.6248396753996317,1.6017934742874782,-0.03489892224630613,-0.33091303611212214,0.26111519161950986,-0.4876134424349567,0.41781559794234435
2028 Aug,1.1201030011440267,0.7972971920141909,1.4429088102738625,0.6264141189288772,1.6137918833591762,-0.0335254523578758,-0.33018770788597657,0.263136803170225,-0.4872312196793861,0.4201803149636345
2028 Sep,1.1269352353394462,0.8007552191547855,1.4531152515241068,0.6280859487506908,1.6257845219282014,-0.03219612293430951,-0.32946610825168454,0.2650738623830655,-0.4868313327623362,0.4224390868937171
2028 Oct,1.132524306600466,0.80300294588434,1.462045667316592,0.6285648745304953,1.6364837386704365,-0.03090993485773436,-0.3287494441806959,0.2669295744652272,-0.4864161564884006,0.4245962867729318
2028 Nov,1.136908628702892,0.8040779518172507,1.4697393055885333,0.627888034304311,1.645929223101473,-0.029665889890233204,-0.32803882587609395,0.2687070460956275,-0.48598791720190737,0.4266561374214409
2028 Dec,1.141286947425343,0.805178176419017,1.4773957184316693,0.6272529407012547,1.6553209541494316,-0.028462992272124468,-0.32733527103891313,0.2704092864946642,-0.48554869846561,0.42862271392136103
2029 Jan,1.1467033717121744,0.8073469493726984,1.4860597940516505,0.627702510888374,1.6657042325359748,-0.027300250199782904,-0.3266397090714002,0.27203920867183445,-0.48510044670671026,0.43049994630714444
2029 Feb,1.1529305512954309,0.8103561673862498,1.495504935204612,0.6290082429467503,1.6768528596441112,-0.026176677189308085,-0.32595298520924015,0.27359963083062394,-0.4846449768146691,0.43229162243605285
2029 Mar,1.1586872631256173,0.8129238797987959,1.5044506464524388,0.6298878010413098,1.6874867252099248,-0.025091293332078428,-0.32527586457567864,0.27509327791152177,-0.48418397767680244,0.4340013910126455
2029 Apr,1.1629753969238776,0.8140512733053069,1.5118995205424484,0.6293419997074473,1.696608794140308,-0.024043126447969097,-0.3246090361513268,0.27652278325538865,-0.48371901763909664,0.43563276474315843
2029 May,1.1661843770024733,0.8141270929522488,1.5182416610526979,0.6277592244100368,1.7046095295949097,-0.023031213141762034,-0.3239531166542218,0.2778906903706977,-0.48325154988101904,0.4371891235974949
2029 Jun,1.1698300799994084,0.8146665590547089,1.5249936009441079,0.6266543480278008,1.7130058119710159,-0.022054599768035112,-0.3233086543254518,0.27919945478938163,-0.48278291769435133,0.4386737181582811
2029 Jul,1.1751549122322005,0.8169114437437917,1.5333983807206093,0.6272688069738359,1.7230410174905648,-0.021112343309585092,-0.3226761326163426,0.28045144599717237,-0.4823143596572446,0.4400896730380744
2029 Aug,1.1819578728725206,0.8206601333490597,1.5432556123959815,0.6294006631586891,1.734515082586352,-0.020203512174215045,-0.322055973773834,0.28164894942540386,-0.48184701469578645,0.44143999034735626
2029 Sep,1.1888050974491717,0.8244781711259128,1.5531320237724306,0.6316151463071598,1.7459950485911837,-0.01932718691450131,-0.3214485423212722,0.28279416849226957,-0.4813819270263913,0.4427275531973887
2029 Oct,1.1944077593059788,0.8270761579563761,1.5617393606555814,0.632622554258301,1.7561929643536565,-0.018482460874947395,-0.3208541484323925,0.2838892266824978,-0.4809200509732799,0.4439551292233851
2029 Nov,1.198804402929184,0.8284920849393276,1.5691167209190404,0.6324605851654165,1.7651482206929514,-0.017668440770732322,-0.3202730511967808,0.28493616965531615,-0.4804622556561995,0.4451253741147348
2029 Dec,1.2031938926022465,0.8299242813291328,1.5764635038753603,0.6323272850555773,1.7740605001489156,-0.016884247202068617,-0.3197054617755759,0.2859369673714387,-0.4800093295443712,0.44624083514023394
2030 Jan,1.208620444708508,0.8324164461438839,1.5848244432731322,0.6332660790702569,1.7839748103467592,-0.016129015108000102,-0.3191515464466199,0.28689351623061976,-0.4795619848734177,0.4473039546574175
2030 Feb,1.2148568063864653,0.8357408261484626,1.5939727866244682,0.635048949092545,1.7946646636803858,-0.015401894163291716,-0.3186114295386655,0.287807641212082,-0.4791208619227469,0.44831707359616335
2030 Mar,1.2206218428973674,0.8386158025723849,1.60262788322235,0.6363940201210359,1.8048496656736988,-0.014702049121892548,-0.3180851962546326,0.2886810980108475,-0.47868653315153076,0.4492824349077456
2030 Apr,1.2249175240267405,0.840042876884099,1.609792171169382,0.636302545712092,1.8135325023413889,-0.014028660110288823,-0.3175728953842502,0.2895155751636726,-0.47825950719204197,0.4502021869714643
2030 May,1.2281333466749031,0.8404110927766983,1.615855600573108,0.6351633296453941,1.8211033637044123,-0.013380922873905647,-0.31707454190673834,0.2903126961589271,-0.4778402326996753,0.45107838695186403
2030 Jun,1.2317852532897242,0.8412359540180843,1.6223345525613642,0.634491643465696,1.8290788631137525,-0.012758048979564562,-0.31659011948447896,0.29107402152534984,-0.47742910205951333,0.45191300410038415
2030 Jul,1.2371157098533314,0.8437595018769596,1.6304719178297034,0.6355293036119942,1.8387021160946686,-0.012159265976858277,-0.31611958284888975,0.29180105089517316,-0.4770264549497788,0.45270792299606216
2030 Aug,1.2439237696305923,0.8477803783320663,1.6400671609291182,0.6380747343413078,1.8497728049198767,-0.011583817521164108,-0.315662860079956,0.29249522503762776,-0.4766325817629591,0.4534649467206308
