sa2_name,mode,loading_value,start_date,end_date
ALBERT PARK,0,0.97664,1998-04-01,2024-01-01
ALBERT PARK,1,-0.12909,1998-04-01,2024-01-01
ALBERT PARK,2,-0.14888,1998-04-01,2024-01-01
ALBERT PARK,3,0.03096,1998-04-01,2024-01-01
ALBERT PARK,4,0.00732,1998-04-01,2024-01-01
ALBERT PARK,5,-0.07077,1998-04-01,2024-01-01
ALBERT PARK,6,0.01702,1998-04-01,2024-01-01
ALBERT PARK,7,0.00905,1998-04-01,2024-01-01
ALBERT PARK,8,0.01282,1998-04-01,2024-01-01
ALBERT PARK,9,-0.0043,1998-04-01,2024-01-01
ALBERT PARK,10,0.00071,1998-04-01,2024-01-01
ALBERT PARK,11,-0.00218,1998-04-01,2024-01-01
ALBERT PARK,12,-0.01614,1998-04-01,2024-01-01
ALBERT PARK,13,0.00316,1998-04-01,2024-01-01
ALBERT PARK,14,-0.00914,1998-04-01,2024-01-01
ALBERT PARK,15,0.00674,1998-04-01,2024-01-01
ALBERT PARK,16,-0.00387,1998-04-01,2024-01-01
ALBERT PARK,17,0.00512,1998-04-01,2024-01-01
ALBERT PARK,18,-0.00632,1998-04-01,2024-01-01
ALBERT PARK,19,-0.00155,1998-04-01,2024-01-01
ALBERT PARK,20,-0.00178,1998-04-01,2024-01-01
ALBION,0,0.99781,1998-04-01,2024-01-01
ALBION,1,-0.01082,1998-04-01,2024-01-01
ALBION,2,0.00994,1998-04-01,2024-01-01
ALBION,3,-0.02307,1998-04-01,2024-01-01
ALBION,4,0.0108,1998-04-01,2024-01-01
ALBION,5,-0.00588,1998-04-01,2024-01-01
ALBION,6,0.048,1998-04-01,2024-01-01
ALBION,7,-0.01334,1998-04-01,2024-01-01
ALBION,8,0.01517,1998-04-01,2024-01-01
ALBION,9,-0.017,1998-04-01,2024-01-01
ALBION,10,0.00057,1998-04-01,2024-01-01
ALBION,11,0.00241,1998-04-01,2024-01-01
ALBION,12,-0.00146,1998-04-01,2024-01-01
ALBION,13,-0.00493,1998-04-01,2024-01-01
ALBION,14,-0.01017,1998-04-01,2024-01-01
ALBION,15,-0.00099,1998-04-01,2024-01-01
ALBION,16,-0.0022,1998-04-01,2024-01-01
ALBION,17,-0.00101,1998-04-01,2024-01-01
ALBION,18,0.00382,1998-04-01,2024-01-01
ALBION,19,0.00467,1998-04-01,2024-01-01
ALBION,20,0.00028,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,0,0.97555,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,1,-0.18985,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,2,0.08581,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,3,-0.05223,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,4,0.00676,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,5,0.00331,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,6,-0.02058,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,7,0.0084,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,8,-0.00374,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,9,0.0144,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,10,-0.01737,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,11,-0.00949,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,12,0.001,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,13,-0.00619,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,14,-0.0003,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,15,-0.01022,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,16,-0.00862,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,17,0.00392,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,18,-0.0058,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,19,-0.00561,1998-04-01,2024-01-01
ALBION PARK - MACQUARIE PASS,20,0.00943,1998-04-01,2024-01-01
ALBION PARK RAIL,0,0.9735,1998-04-01,2024-01-01
ALBION PARK RAIL,1,-0.20221,1998-04-01,2024-01-01
ALBION PARK RAIL,2,0.0872,1998-04-01,2024-01-01
ALBION PARK RAIL,3,-0.0393,1998-04-01,2024-01-01
ALBION PARK RAIL,4,0.02041,1998-04-01,2024-01-01
ALBION PARK RAIL,5,-0.00546,1998-04-01,2024-01-01
